# id	category	locale	text	aliases
# Bilingual corpus. English is the universal fallback; Spanish is used for es locales.
country_019	countries	en	BELIZE	
country_020	countries	en	BENIN	
country_021	countries	en	BELARUS	
country_022	countries	en	BOLIVIA	
country_023	countries	en	BOSNIA AND HERZEGOVINA	
country_024	countries	en	BOTSWANA	
country_025	countries	en	BRAZIL	
country_026	countries	en	BRUNEI	
country_027	countries	en	BULGARIA	
country_028	countries	en	BURKINA FASO	
country_029	countries	en	BURUNDI	
country_030	countries	en	BHUTAN	
country_031	countries	en	CAPE VERDE	
country_032	countries	en	CAMBODIA	
country_033	countries	en	CAMEROON	
country_034	countries	en	CANADA	
country_035	countries	en	QATAR	
country_036	countries	en	CHAD	
country_037	countries	en	CHILE	
country_038	countries	en	CHINA	
country_039	countries	en	CYPRUS	
country_040	countries	en	COLOMBIA	
country_041	countries	en	COMOROS	
country_042	countries	en	NORTH KOREA	
country_043	countries	en	SOUTH KOREA	
country_044	countries	en	IVORY COAST	
country_045	countries	en	COSTA RICA	
country_046	countries	en	CROATIA	
country_047	countries	en	CUBA	
country_048	countries	en	DENMARK	
country_049	countries	en	DOMINICA	
country_050	countries	en	ECUADOR	
country_051	countries	en	EGYPT	
country_052	countries	en	EL SALVADOR	
country_053	countries	en	UNITED ARAB EMIRATES	
country_054	countries	en	ERITREA	
country_055	countries	en	SLOVAKIA	
country_056	countries	en	SLOVENIA	
country_057	countries	en	SPAIN	
country_058	countries	en	UNITED STATES	
country_059	countries	en	ESTONIA	
country_060	countries	en	ESWATINI	
country_061	countries	en	ETHIOPIA	
country_062	countries	en	PHILIPPINES	
country_063	countries	en	FINLAND	
country_064	countries	en	FIJI	
country_065	countries	en	FRANCE	
country_066	countries	en	GABON	
country_067	countries	en	GAMBIA	
country_068	countries	en	GEORGIA	
country_069	countries	en	GHANA	
country_070	countries	en	GRENADA	
country_071	countries	en	GREECE	
country_072	countries	en	GUATEMALA	
country_073	countries	en	GUINEA	
country_074	countries	en	GUINEA-BISSAU	
country_075	countries	en	EQUATORIAL GUINEA	
country_076	countries	en	GUYANA	
country_077	countries	en	HAITI	
country_078	countries	en	HONDURAS	
country_079	countries	en	HUNGARY	
country_080	countries	en	INDIA	
country_081	countries	en	INDONESIA	
country_082	countries	en	IRAQ	
country_083	countries	en	IRAN	
country_084	countries	en	IRELAND	
country_085	countries	en	ICELAND	
country_086	countries	en	MARSHALL ISLANDS	
country_087	countries	en	SOLOMON ISLANDS	
country_088	countries	en	ISRAEL	
country_089	countries	en	ITALY	
country_090	countries	en	JAMAICA	
country_091	countries	en	JAPAN	
country_092	countries	en	JORDAN	
country_093	countries	en	KAZAKHSTAN	
country_094	countries	en	KENYA	
country_095	countries	en	KYRGYZSTAN	
country_096	countries	en	KIRIBATI	
country_097	countries	en	KUWAIT	
country_098	countries	en	LAOS	
country_099	countries	en	LESOTHO	
country_100	countries	en	LATVIA	
country_101	countries	en	LEBANON	
country_102	countries	en	LIBERIA	
country_103	countries	en	LIBYA	
country_104	countries	en	LIECHTENSTEIN	
country_105	countries	en	LITHUANIA	
country_106	countries	en	LUXEMBOURG	
country_107	countries	en	NORTH MACEDONIA	
country_108	countries	en	MADAGASCAR	
country_109	countries	en	MALAYSIA	
country_110	countries	en	MALAWI	
country_111	countries	en	MALDIVES	
country_112	countries	en	MALI	
country_113	countries	en	MALTA	
country_114	countries	en	MOROCCO	
country_115	countries	en	MAURITIUS	
country_116	countries	en	MAURITANIA	
country_117	countries	en	MEXICO	
country_118	countries	en	MICRONESIA	
country_119	countries	en	MOLDOVA	
country_120	countries	en	MONACO	
country_121	countries	en	MONGOLIA	
country_122	countries	en	MONTENEGRO	
country_123	countries	en	MOZAMBIQUE	
country_124	countries	en	MYANMAR	
country_125	countries	en	NAMIBIA	
country_126	countries	en	NAURU	
country_127	countries	en	NEPAL	
country_128	countries	en	NICARAGUA	
country_129	countries	en	NIGER	
country_130	countries	en	NIGERIA	
country_131	countries	en	NORWAY	
country_132	countries	en	NEW ZEALAND	
country_133	countries	en	OMAN	
country_134	countries	en	NETHERLANDS	
country_135	countries	en	PAKISTAN	
country_136	countries	en	PALAU	
country_137	countries	en	PALESTINE	
country_138	countries	en	PANAMA	
country_139	countries	en	PAPUA NEW GUINEA	
country_140	countries	en	PARAGUAY	
country_141	countries	en	PERU	
country_142	countries	en	POLAND	
country_143	countries	en	PORTUGAL	
country_144	countries	en	UNITED KINGDOM	
country_145	countries	en	CENTRAL AFRICAN REPUBLIC	
country_146	countries	en	REPUBLIC OF THE CONGO	
country_147	countries	en	DEMOCRATIC REPUBLIC OF THE CONGO	
country_148	countries	en	DOMINICAN REPUBLIC	
country_149	countries	en	RWANDA	
country_150	countries	en	ROMANIA	
